annee_numero_de_tirage;jour_de_tirage;date_de_tirage;date_de_forclusion;boule_1;boule_2;boule_3;boule_4;boule_5;numero_chance;combinaison_gagnante_en_ordre_croissant;nombre_de_gagnant_au_rang1;rapport_du_rang1;nombre_de_gagnant_au_rang2;rapport_du_rang2;nombre_de_gagnant_au_rang3;rapport_du_rang3;nombre_de_gagnant_au_rang4;rapport_du_rang4;nombre_de_gagnant_au_rang5;rapport_du_rang5;nombre_de_gagnant_au_rang6;rapport_du_rang6;nombre_de_gagnant_au_rang7;rapport_du_rang7;nombre_de_gagnant_au_rang8;rapport_du_rang8;nombre_de_gagnant_au_rang9;rapport_du_rang9;nombre_de_codes_gagnants;rapport_codes_gagnants;codes_gagnants;numero_jokerplus;devise;
25002;JEUDI;25/12/2025;26/03/2026;44;35;30;2;3;10;2-3-30-35-44+10;0;20000000,00;3;329291,50;48;12519,40;575;4012,60;2838;363,40;27376;170,00;44065;87,50;441494;36,20;625569;12,90;100;20000,00;P 3861 7396, V 0102 5131, R 0017 9322, F 0346 2779, L 3339 4210, C 6793 3987, E 1289 2279, Q 6209 8129, B 2311 9544, M 5571 6743, J 7226 4602, V 5688 9986, V 8444 1876, C 8673 2884, A 3373 4862, R 0488 2577, V 8421 7886, G 9297 6181, U 3134 5010, E 0030 3615, G 4197 7149, A 0807 4133, R 9269 6371, R 6623 8491, D 2566 1784, T 6007 7794, B 4605 6529, R 1784 1963, H 7001 9017, C 7797 0708, R 7394 6874, V 8432 3824, J 0335 3693, O 6638 5399, O 5738 9565, J 6436 4532, S 3027 5370, V 5471 1437, M 8915 8037, V 1468 6796, T 5678 8697, O 9398 2577, E 0106 0011, N 8711 6812, A 5185 8053, P 9744 3066, F 4946 2429, N 0481 4006, R 6407 0907, V 0448 8095, T 2157 3555, O 2118 4092, S 2558 8343, U 5882 9605, A 2278 9513, V 4415 3514, J 3347 2962, K 9984 1544, K 1249 0427, D 1458 7657, Q 6694 7188, F 8531 8655, N 7485 9615, R 2547 9731, M 8190 9452, D 9339 4037, K 4104 9560, J 8915 6415, J 5948 0386, C 5977 0605, K 0566 2531, H 6099 5379, L 3312 4225, H 8916 3022, T 1012 6734, C 3890 3004, N 3652 1785, T 0115 5752, P 5734 3051, V 8426 7732, J 0149 7011, K 0038 0141, F 5818 7630, D 4996 1039, N 6471 9584, C 3433 0090, B 5392 4252, T 9514 4676, A 8546 8424, S 2430 8094, U 0152 2582, M 0153 0743, S 3117 0823, F 1855 9927, N 1213 9245, I 1769 7755, J 5354 5823, S 9523 7043, G 9299 8097, T 4268 9763;1869455;eur;
25001;VENDREDI;04/07/2025;03/10/2025;35;49;9;19;21;10;9-19-21-35-49+10;0;20000000,00;1;765451,30;41;11343,90;558;3257,30;2433;327,70;24633;146,10;32759;102,80;338583;42,00;425832;16,70;100;20000,00;U 0048 5966, T 3952 5515, P 3483 3543, V 8414 2926, N 0634 8478, R 7755 7924, C 6215 4978, H 4472 9915, A 3176 3280, Q 5540 3862, E 9728 9870, F 0435 6059, J 7339 1826, A 9823 8864, F 1710 7354, K 1831 8754, J 2361 8707, F 0017 5114, U 3444 0874, F 5553 2593, N 0731 2208, T 3447 9061, V 3073 4187, M 8194 3682, F 1401 8332, V 3386 4453, R 1191 6483, L 6838 7360, C 4340 4386, U 6355 4895, B 4502 0404, L 8992 9353, K 5173 0329, M 8647 6391, P 2304 8226, S 9515 0864, O 8963 8725, A 6624 0471, E 3230 9813, J 5584 0171, C 2753 0500, A 3689 0027, Q 0045 1452, I 7630 4382, B 1668 2106, J 1842 6099, O 4105 8170, L 9358 0245, A 3352 1449, E 3929 3601, C 8094 9021, B 3942 8077, B 9787 7075, S 5618 0992, T 7408 1787, S 8332 4463, C 5182 6688, L 4304 9176, R 9099 2258, R 8543 7430, S 1099 9189, T 7048 8777, F 3630 1303, H 4127 2262, M 0350 7631, K 3125 5618, E 8268 0268, N 7979 8241, J 7526 6088, D 0265 3597, P 8932 9596, J 0263 4314, T 9256 9886, E 6147 4297, O 3379 4153, H 7598 7363, V 8401 7827, V 2563 4140, P 0152 6127, V 8121 3307, Q 7726 7293, U 8750 0487, F 7966 5460, B 8977 2657, L 5175 9595, N 2208 1162, V 6835 7930, O 8155 3891, Q 3348 7673, E 0127 7927, P 3546 5662, F 2240 2529, V 8412 3593, I 4698 4190, N 0558 9264, O 0130 1257, C 2669 3890, Q 1894 8176, Q 3410 2383, A 9919 9629;4457610;eur;
24002;MARDI;24/12/2024;25/03/2025;40;44;37;19;9;5;9-19-37-40-44+5;1;20000000,00;1;762581,40;88;5291,80;728;2306,10;3846;208,40;33012;109,30;57259;29,40;486185;12,40;821780;5,00;100;20000,00;N 3989 2736, E 2214 2835, A 1858 8819, N 5210 5297, D 8288 7875, F 3563 3541, U 7499 2922, I 8583 4252, F 3224 1348, P 1960 6054, E 7812 2997, S 1813 4582, U 3201 6742, T 7322 0405, V 3750 1878, M 9768 7454, G 6067 7845, V 5873 3620, B 2031 0698, M 5168 0896, R 0259 2907, M 4704 0558, H 3262 7278, L 1603 4118, Q 7878 4213, E 6592 9062, D 7064 3594, B 1944 6104, G 3259 0029, V 8389 9497, T 3576 1974, E 1617 8148, F 6134 9992, C 9789 7417, B 0510 9507, C 8732 1173, B 9240 8086, J 1499 9749, D 7611 1267, R 7073 8845, P 0758 2541, J 0996 6230, S 1342 1714, J 4612 3249, N 2386 9582, T 3591 2215, F 2901 9979, K 3015 2486, J 0795 4379, V 5090 1438, U 6684 2631, D 0754 0380, C 1949 2544, B 3343 4727, I 2806 3432, M 5239 9537, A 4530 6894, B 5740 4316, F 4293 9493, V 8375 4053, G 5087 7790, G 1271 2152, R 1390 2583, Q 1122 6898, A 7460 7645, Q 2817 3765, R 9977 8039, I 3140 1671, N 7146 2609, C 6053 9698, E 0031 0623, K 7093 2219, K 0677 5552, D 6302 0528, L 4913 7651, E 3966 4975, C 9289 5243, C 5511 6913, J 5545 7605, Q 7220 6907, E 5332 5861, V 8368 4805, B 2871 5116, D 2475 6616, J 7341 1603, U 9582 6869, E 1618 5596, H 6623 1163, L 1517 7357, B 0086 3474, C 2131 3869, J 6093 2619, N 1150 5135, L 3480 5850, E 5007 5338, F 2594 7000, V 2789 1132, C 9638 5145, C 3404 0237, O 7213 3699;9181696;eur;
24001;VENDREDI;26/07/2024;25/10/2024;26;2;45;18;47;7;2-18-26-45-47+7;0;15000000,00;0;237088,00;38;18141,30;220;4702,50;1395;316,50;10423;191,40;20751;105,40;152863;61,70;292198;17,60;100;20000,00;G 1596 4633, Q 6939 0195, S 0484 4643, T 1285 5217, T 2247 2332, R 0134 6049, J 2615 3404, V 7873 8842, F 5072 0553, F 4671 6434, R 7825 7058, V 0787 1410, R 1018 8087, H 1023 8713, L 0798 8278, C 8110 6280, R 8807 4152, T 3575 9528, N 4935 8096, C 1365 2937, C 1190 1106, A 2097 2522, S 9462 7734, N 5618 5066, T 9552 6623, Q 6758 2507, V 5229 3420, L 6759 1633, P 2342 9322, C 2132 3431, P 1984 5995, P 0956 9834, O 0949 3250, J 0279 0660, O 7114 1107, T 3865 6240, O 3108 2406, A 7790 1718, M 4331 3192, G 6784 3813, G 9657 6632, H 0511 9834, H 3935 3593, A 8232 9633, J 2090 6131, N 9541 2308, P 2331 2326, V 8358 6784, A 4348 3327, U 0269 0791, L 4963 0449, K 3906 9318, V 8349 4621, K 5224 0701, G 5971 8001, L 2285 2560, G 6587 5397, G 3790 5639, M 7976 9113, C 2921 2700, V 8356 2702, M 4986 4852, F 5455 3318, T 6489 5460, P 2639 8315, O 6670 2019, S 7496 2265, V 8054 8150, K 9434 8449, G 5039 8622, L 0506 8911, K 0031 7009, L 3908 2791, M 3104 0470, Q 4657 3810, A 3903 1565, K 5391 5139, J 8381 3215, S 5131 6573, N 3548 7156, A 9013 7828, D 9302 6763, O 7083 1322, J 1399 8261, A 9832 2774, K 5949 5048, N 2591 2834, J 6082 7979, E 7313 4920, D 4412 6216, V 8347 8228, S 3505 0052, I 0265 2547, L 8733 0086, T 2273 2197, D 0531 6244, R 3453 3664, N 5254 5625, S 9399 5022, S 0138 2248;8212265;eur;
23001;DIMANCHE;24/12/2023;24/03/2024;34;47;48;22;6;2;6-22-34-47-48+2;0;15000000,00;3;315966,60;74;7798,70;627;3464,50;3229;305,40;29787;149,30;46957;71,10;445380;30,50;686197;10,40;100;20000,00;P 5061 8201, G 1077 7060, E 1234 5405, Q 2268 5066, O 6905 8174, K 2468 1259, A 2988 6796, P 3982 8839, P 0075 7688, L 0946 6033, P 1901 9086, E 5429 5889, T 8123 5139, S 1593 4740, B 1587 9330, P 4707 3818, A 1163 2203, A 2983 6535, N 9186 3247, V 8318 0752, B 8474 5233, C 3916 5173, G 2054 8070, F 9330 2154, F 7809 0635, V 5827 3699, K 3882 0190, U 8799 5996, S 8798 3021, J 0332 7522, O 9592 2146, C 9061 5437, S 2246 0045, U 0455 1802, L 1055 6589, V 8158 9190, A 2739 7662, O 2789 8652, V 0243 5700, P 5782 4019, F 8172 8115, G 3591 4688, V 8324 0656, U 6329 1405, O 2576 5812, I 5213 1492, T 4221 5986, N 1850 0634, S 7270 5881, R 6439 5952, C 0256 4052, P 3559 3132, E 6406 4216, U 3014 5923, T 4426 0438, G 7791 0678, V 2089 3942, G 4766 7034, G 3511 5682, V 8321 5800, T 0224 0651, B 1853 6712, O 3528 9716, O 8817 4047, G 2779 8665, V 7069 4317, U 6553 0464, V 4474 7235, P 5905 5926, B 1094 6826, N 5466 5685, G 6804 8737, H 7304 3201, I 1315 8043, G 0092 8461, H 6845 4039, H 6431 8075, T 5305 2202, P 7887 3670, J 5501 7561, M 3938 0139, V 7676 5070, J 7693 3060, U 7781 0278, O 6746 9121, E 2126 9489, R 9675 4960, V 8320 1966, N 8625 4054, H 6251 1883, G 5443 8491, B 9629 1893, V 3926 1458, V 6889 3518, H 7582 9776, L 5489 4993, Q 9481 3611, A 5691 4238, S 7494 5532, D 8270 5858;5687281;eur;
22001;DIMANCHE;25/12/2022;26/03/2023;26;17;35;40;20;10;17-20-26-35-40+10;0;15000000,00;1;935873,40;63;9043,80;728;2958,40;3044;320,00;31442;139,80;45689;72,50;452879;29,80;634425;10,80;100;20000,00;U 7454 8218, U 1345 0349, K 6873 8673, G 4039 0451, C 3206 2467, O 8483 1920, V 8306 9670, U 3868 5879, L 2507 0094, F 6672 6340, V 8293 4956, M 3907 4229, G 9145 7240, B 1525 8655, C 7491 7333, L 0912 1232, J 8689 3671, K 6948 1509, C 1092 8438, L 8420 8388, M 0852 6931, C 4353 7789, L 6293 5406, K 1696 7333, M 1231 0704, D 0512 3758, N 9632 8917, V 3490 0969, J 4531 7148, A 4101 6304, L 6800 3423, V 8293 6028, M 7161 5682, H 5651 2279, V 8309 1868, F 4390 9737, J 5110 7040, V 3081 3290, S 5955 6958, N 0276 3045, I 6257 7897, C 3344 7004, V 3615 6335, B 7903 4574, B 1630 8849, G 4667 0255, G 2761 1076, N 3370 2890, C 0309 5288, P 3700 2153, Q 2056 8036, B 6458 0271, G 6488 0001, D 1613 6782, V 2779 1814, F 9286 6104, O 4356 3516, G 7473 6990, E 2316 3243, J 7393 8601, G 8772 4617, A 7523 3226, J 5045 7861, L 7145 4141, F 6551 6158, V 1659 0270, T 5175 1628, C 3729 8362, A 0700 5727, L 4587 2070, U 4080 1462, S 3873 3322, H 3935 9105, O 9926 8386, S 6212 5952, P 9835 8986, C 7048 8295, S 6134 7263, B 4504 2591, A 5387 0256, H 2665 3581, M 7097 5074, D 2646 3608, T 2088 4193, B 0925 3974, G 5467 1437, O 4465 9231, L 0123 7806, N 3959 7147, V 8311 7789, N 4930 2963, I 0390 2059, H 6705 7796, I 7498 3285, U 1865 9589, S 7684 7729, E 0780 0221, E 1131 8748, D 8542 5597, H 4850 1565;0728243;eur;
20211001;VENDREDI;24/12/2021;23/02/2022;26;10;8;47;17;10;8-10-17-26-47+10;0;15000000;3;380188,2;103;6745,2;1162;2246,3;4496;265,5;48654;110,5;62112;60,8;659619;23;786741;9,7;100;20000;S 6134 0243,A 7292 3991,B 0476 1261,G 0456 7043,L 7971 7008,A 1174 0781,N 1919 4192,V 6206 7097,H 0439 7182,C 8994 4436,B 8253 0209,K 7579 2930,P 4938 3162,N 5304 3902,C 3385 9056,O 4085 4579,R 1468 9641,M 3370 0762,B 4948 3768,H 0635 3310,I 9728 7721,D 5550 9455,C 4873 9554,C 4821 8122,Q 5444 2044,F 7098 5381,G 4586 1994,O 7361 3069,E 6885 4632,L 5636 2235,G 3236 9907,F 8000 6658,S 0820 6781,U 1420 9232,T 3289 1991,J 7105 0550,J 9480 4210,F 5575 3922,Q 2999 8618,C 7407 3835,S 4978 8648,D 0238 5190,G 8086 2968,S 0595 0162,H 5568 2507,S 7467 0426,J 4731 5616,C 5622 1243,S 3713 5104,O 4007 9374,N 5556 4344,C 4416 1451,K 7725 6599,L 9018 1038,Q 6805 6513,G 6786 3463,S 9098 5148,V 8275 9389,U 4309 2974,A 4733 9370,L 9107 1260,L 0322 7163,A 0958 6580,O 1584 9350,D 5966 5637,U 9604 1641,H 9082 5954,K 0321 6152,K 5037 1524,R 2986 4334,F 0980 0998,K 4045 2821,R 7225 6277,J 0831 6666,U 2265 2366,H 8767 0079,V 8263 3326,S 1130 9133,U 1941 8859,Q 5202 1276,G 4509 3063,D 2274 3081,S 3300 8590,K 9922 2174,L 4899 3349,H 8427 3896,O 1181 5564,E 0387 6189,D 7285 0318,P 9098 4646,D 2807 2581,T 4099 4676,M 3427 1062,D 8087 8513,M 5844 7117,F 8849 3379,B 4321 6024,F 8277 6897,C 4785 1209,L 7302 8272;2502519;eur;
20200001;VENDREDI;25/12/2020;26/03/2021;15;48;33;30;35;5;8-10-17-26-47+10;1;19000000;2;352974,9;160;6531,8;615;2527,1;3149;235,7;26723;125;49621;31,4;414296;13,5;772303;5;100;20000;G 2211 3266,L 1968 2882,T 4416 8328,N 5833 6747,F 6284 5488,C 6598 8193,M 0980 0432,E 6927 7770,V 6661 2891,C 7271 0770,U 3466 8065,S 3463 0610,I 2538 3207,D 1963 5033,U 8736 5156,R 2039 9536,E 9797 9049,N 9917 9734,G 2327 0820,E 9487 5823,I 7666 8043,J 7626 0555,O 7365 2107,D 5951 8938,O 8512 3793,O 1414 5858,Q 6916 1903,K 8479 5688,F 3122 0874,R 9517 8623,Q 4924 9030,E 8199 1187,H 5154 4146,I 1626 4310,I 0847 7330,R 8615 8324,Q 8462 0493,D 9019 8285,G 4455 6518,S 6038 2480,I 1094 2012,M 0693 0377,E 9746 4520,N 2304 9256,O 4576 9463,G 4814 8030,U 0305 7251,H 9130 1604,M 4518 4864,D 9756 4367,K 0280 3115,U 4360 7270,E 2745 4509,L 6302 8294,H 5391 2634,S 6986 9241,L 1214 1622,G 3528 4844,A 0121 0577,A 9988 6864,Q 3937 8857,G 6766 0294,H 7442 2304,R 6998 3385,A 4938 1485,P 6885 0941,E 9374 4341,V 0066 2013,B 1698 3665,F 4908 3858,V 8236 3990,H 6655 7958,A 5023 3659,I 1645 1844,A 9803 1621,V 8131 2839,B 2875 5469,O 5717 4065,Q 6033 1918,B 8510 0875,O 8110 8895,L 5142 0606,I 0890 2531,F 5385 1179,J 7682 8149,N 3689 3012,K 7022 9927,J 6819 2096,E 9570 1152,V 6779 4665,V 3151 8376,O 4365 0703,U 4807 9900,E 1427 4028,R 8685 8198,T 3191 1548,P 8298 7379,I 4155 0130,J 6729 5754,G 0388 4893;2502519;eur;
20199001;MARDI;25/12/2020;26/03/2021;15;39;32;10;27;6;10-15-27-32-39+6;1;15000000;4;183858,8;80;5613,8;674;2402,2;3357;230,3;32433;107,3;49248;32,9;473629;12,3;674028;5;100;20000;V 8217 1682,H 1330 3649,S 2594 5678,T 4114 0158,K 6220 8919,F 5458 9316,U 7438 6083,A 8075 8615,U 2383 9136,B 5372 9908,N 9844 1271,T 4958 7238,J 3711 1070,U 6467 0485,J 5500 9721,C 1826 3939,T 4823 7624,J 5652 9081,L 6557 2906,B 6577 0005,P 8093 5791,A 7140 7710,D 9746 3443,B 6757 3137,H 3357 8352,N 0916 5888,M 7144 7294,T 1630 9428,S 9861 9552,P 7005 3115,A 2633 0206,U 5069 6609,J 6672 1153,L 8167 2164,I 3324 8057,M 0690 8221,A 5228 0546,Q 6791 5951,T 5910 9744,M 1427 4472,O 1822 5361,U 7237 7921,A 4590 7596,C 2288 5443,C 7745 2574,U 2777 1076,A 2053 8527,I 3465 8335,F 2086 1543,K 1718 4974,O 6959 8985,S 0266 9360,O 5048 5110,B 7216 1410,F 6358 7248,O 9042 8481,N 4406 3938,L 7551 6939,N 8065 0576,K 3516 5020,V 8114 3285,V 5530 8492,O 0460 7590,N 6744 8342,V 8233 9131,P 9133 4164,A 9180 9448,D 7176 7976,A 5517 6977,G 0376 7024,L 5056 6322,U 9531 0240,R 9121 3766,A 0906 1275,B 6687 8981,P 9703 0561,G 6216 9679,S 6189 7524,V 8112 1204,E 5093 9852,H 7695 2644,J 9122 1187,S 4502 2257,E 3653 1148,J 5462 6119,T 6090 6842,S 6826 8527,K 4137 0144,N 4067 4037,F 4041 7623,J 7705 9795,D 2224 7638,R 1601 0763,V 6053 1174,F 3212 7980,E 0520 3817,F 4786 1773,U 2108 6080,N 1790 1456,A 4667 9527;2502519;eur;
